Tokens,SChinese,English
DOTA_Tooltip_ability_imba_abaddon_soul_suck,灵魂吸收,
DOTA_Tooltip_ability_imba_abaddon_soul_suck_Description,亚巴顿吸收%radius%范围内最近阵亡单位（最多为10秒前阵亡）的灵魂，治疗自身，治疗量为%regen%%该单位最大生命。灵魂吸收优选选择生命值最高的阵亡单位,
DOTA_Tooltip_ability_imba_abaddon_death_coil,迷雾缠绕,
DOTA_Tooltip_ability_imba_abaddon_death_coil_Description,亚巴顿以自身的部分生命为代价，释放出一团致命迷雾，可以对敌方单位造成伤害，或者治疗友方单位。,
DOTA_Tooltip_ability_imba_abaddon_death_coil_Lore,亚巴顿的气息中充盈着来自魔霭圣池的神秘之汽，他能随意将其释放。,
DOTA_Tooltip_ability_imba_abaddon_death_coil_Shard_Description,使迷雾缠绕也会造成攻击伤害，并且施加来自物品和技能的效果。,
DOTA_Tooltip_ability_imba_abaddon_death_coil_target_damage,伤害/治疗：,
DOTA_Tooltip_ability_imba_abaddon_death_coil_self_damage,%对自身伤害：,
DOTA_Tooltip_ability_imba_abaddon_death_coil_Note0,亚巴顿不能使用此技能自杀。,
DOTA_Tooltip_ability_imba_abaddon_aphotic_shield,无光之盾,
DOTA_Tooltip_ability_imba_abaddon_aphotic_shield_Description,召唤黑暗能量环绕友方单位，创造一个全伤害护盾，护盾在消失前能吸收一定量的伤害。护盾消失或被摧毁后将会爆炸，对附近区域的单位造成伤害，伤害值为护盾的最大吸收量。施放时移除目标身上的负面状态和眩晕效果。\n\n驱散类型：强驱散,
DOTA_Tooltip_ability_imba_abaddon_aphotic_shield_Lore,升腾的黑雾将敌人的招数一一吞噬，如同吞噬日光。,
DOTA_Tooltip_ability_imba_abaddon_aphotic_shield_duration,持续时间：,
DOTA_Tooltip_ability_imba_abaddon_aphotic_shield_damage_absorb,伤害护盾：,
DOTA_Tooltip_ability_imba_abaddon_aphotic_shield_radius,爆炸作用范围：,
DOTA_Tooltip_ability_imba_abaddon_aphotic_shield_absorb_damage_aoe,反弹伤害范围：,
DOTA_Tooltip_ability_imba_abaddon_aphotic_shield_Note0,不论护盾因持续时间结束或吸收足够伤害后被摧毁都将造成最大伤害。,
DOTA_Tooltip_ability_imba_abaddon_aphotic_shield_Note1,爆炸将不会对战争迷雾内单位造成伤害。,
DOTA_Tooltip_ability_imba_abaddon_font_of_avernus,魔霭圣池,
DOTA_Tooltip_ability_imba_abaddon_font_of_avernus_Description,亚巴顿的复活时间减少%respawn_reduction%%%。,
DOTA_Tooltip_ability_imba_abaddon_frostmourne,魔霭诅咒,
DOTA_Tooltip_ability_imba_abaddon_frostmourne_Description,亚巴顿打击一个敌人，使其受到寒心诅咒的作用，被减速，并且持续受到伤害，同时所有攻击目标的单位将提升攻击速度。对建筑的持续伤害减少%tower_dps_pct%%%。,
DOTA_Tooltip_ability_imba_abaddon_frostmourne_shard_description,提升魔霭诅咒的减速效果。,
DOTA_Tooltip_ability_imba_abaddon_frostmourne_abilitydraft_note,魔晶升级效果需要选择迷雾缠绕和/或无光之盾。,
DOTA_Tooltip_ability_imba_abaddon_frostmourne_Lore,受洗之人能从圣池中汲取能量，而魔霭的恩赐会让一无所知的人逐渐衰弱。,
DOTA_Tooltip_ability_imba_abaddon_frostmourne_curse_duration,持续时间：,
DOTA_Tooltip_ability_imba_abaddon_frostmourne_curse_slow,%移动速度减缓：,
DOTA_Tooltip_ability_imba_abaddon_frostmourne_curse_dps,每秒伤害：,
DOTA_Tooltip_ability_imba_abaddon_frostmourne_curse_attack_speed,攻击速度：,
DOTA_Tooltip_ability_imba_abaddon_borrowed_time,回光返照,
DOTA_Tooltip_ability_imba_abaddon_borrowed_time_Description,启动后所有受到的伤害转而产生治疗效果，启动时还将移除大部分的负面效果。只要技能不在冷却中，在生命值低于%hp_threshold%点时技能会自动启动。\n\n驱散类型：强驱散,
DOTA_Tooltip_ability_imba_abaddon_borrowed_time_Lore,魔霭圣池中最为扭曲的馈赠，凡人对死亡的认知在此力量前显得异常可笑。敌之尖刀，我之伤药；死地后生，回光返照。,
DOTA_Tooltip_ability_imba_abaddon_borrowed_time_hp_threshold,生命临界值：,
DOTA_Tooltip_ability_imba_abaddon_borrowed_time_duration,持续时间：,
DOTA_Tooltip_ability_imba_abaddon_borrowed_time_duration_scepter,持续时间：,
